Power,Speed,P/v,Width,Depth,Length,hatch distance depth (um),lack of fusion - hatch,lack of fusion,balling,keyholing,hmax
30,400,0.075,50.93781681,26.10477097,128.9342582,25.29474937,2.529474937,2.610477097,0.395068134,1.951283804,43.3129709
30,1000,0.03,29.8409298,9.072267257,95.69148401,8.490704277,0.849070428,0.907226726,0.311845198,3.289247215,20.58112484
30,1600,0.01875,18.13063862,4.504774461,67.68331809,3.751365584,0.375136558,0.450477446,0.267874554,4.024760569,10.10401861
30,2200,0.013636364,4.566150908,0.463841105,34.98828424,0,0,0.046384111,0.130505139,9.844213584,0.961367218
30,2800,0.010714286,0,0,0,0,0,0,,,0
82.5,400,0.20625,105.0053267,117.7731454,345.3856332,116.2712662,11.62712662,11.77731454,0.304023435,0.891589728,100.8125673
82.5,1000,0.0825,73.71137826,39.28421087,282.5305518,38.20985776,3.820985776,3.928421087,0.260897017,1.876361434,65.80965969
82.5,1600,0.0515625,58.38129746,25.64127111,250.0682223,24.51445348,2.451445348,2.564127111,0.233461481,2.276848804,49.51843671
82.5,2200,0.0375,51.27942204,19.10280363,229.3815754,18.72982241,1.872982241,1.910280363,0.223555104,2.68439246,41.5455261
82.5,2800,0.029464286,45.9114295,15.28480332,213.215214,14.88547399,1.488547399,1.528480332,0.21532905,3.003730473,35.69611505
135,400,0.3375,110.4519831,216.1401222,419.9338548,212.65147,21.265147,21.61401222,0.263022335,0.511020267,107.9822575
135,1000,0.135,92.93271004,72.39075795,479.7811422,71.53804178,7.153804178,7.239075795,0.19369813,1.283764843,87.11058189
135,1600,0.084375,75.29256347,42.57857474,418.5240462,41.18623345,4.118623345,4.257857474,0.179900209,1.768320427,67.75529477
135,2200,0.061363636,66.17466952,31.0001333,380.3353046,30.03355982,3.003355982,3.10001333,0.173990341,2.13465758,57.54146667
135,2800,0.048214286,59.93965812,25.25052217,358.1003706,24.33407884,2.433407884,2.525052217,0.167382285,2.373798756,50.73021068
187.5,400,0.46875,106.0567111,308.1600845,413.2661712,301.2140691,30.12140691,30.81600845,0.256630517,0.344161092,104.3766853
187.5,1000,0.1875,105.5524849,114.4165324,687.6019138,112.7211254,11.27211254,11.44165324,0.153508131,0.922528263,101.2217417
187.5,1600,0.1171875,87.24911165,62.40282356,607.7865304,60.7149437,6.07149437,6.240282356,0.14355223,1.398159677,81.00006783
187.5,2200,0.085227273,76.79039975,43.83498147,546.4903217,42.57039612,4.257039612,4.383498147,0.140515571,1.75180637,69.29231294
187.5,2800,0.066964286,69.00210446,33.89432134,504.0104847,33.57381256,3.357381256,3.389432134,0.136906089,2.03580133,60.63475655
240,400,0.6,101.9059242,402.8258753,399.6096023,392.6029921,39.26029921,40.28258753,0.255013702,0.252977603,100.6641096
240,1000,0.24,117.9447216,164.5110756,891.7394297,161.8665102,16.18665102,16.45110756,0.132263661,0.716940918,114.5155816
240,1600,0.15,96.77260335,86.33165367,808.6422304,85.36238296,8.536238296,8.633165367,0.119672953,1.120939994,91.61212281
240,2200,0.109090909,85.60622518,57.39021247,730.2026905,56.52798317,5.652798317,5.739021247,0.11723625,1.491651999,78.99977433
240,2800,0.085714286,76.26293879,43.80619618,670.0673886,43.23404011,4.323404011,4.380619618,0.113813834,1.740916707,68.81215569
