Power,Speed,Width,Depth, width error (um), depth error (um), text, color,P/v
60,2400,36.84211,9.444444,5.263155,0.9722245, C, r,0.025
60,2000,39.00929,10.55556,4.64396,1.5277795, C, r,0.03
50,1200,51.07595,9.303797,2.088605,1.329113, C, g,0.041666667
60,1600,46.43963,11.66667,7.27554,1.38889, C, g,0.0375
80,2800,42.62156,9.279661,10.274845,1.2711875, C, r,0.028571429
90,2800,46.04651,11.94915,1.90275,1.461865, C, r,0.032142857
60,1200,52.21519,12.1097,2.65823,2.36287, C, g,0.05
50,800,57.27273,27.93103,3.526645,8.04075, K, g,0.0625
100,2800,47.82241,14.36441,3.995775,2.447035, C, r,0.035714286
40,400,58.46154,14.54545,7.307695,2.226345, C, g,0.1
70,1200,58.48101,23.77637,6.93038,5.0211, K, g,0.058333333
60,800,68.42105,31.11111,6.50155,6.25, K, g,0.075
80,1200,64.36709,29.68354,6.550635,14.841775, K, r,0.066666667
50,400,76.53846,56.1039,3.076925,7.1243, K, r,0.125
90,1200,71.96203,43.5654,7.025315,3.98734, K, r,0.075
100,1200,76.13924,52.8692,3.607595,2.28903, K, r,0.083333333
60,400,86.92308,82.82004,3.076925,5.7885, K, r,0.15
70,400,99.61538,98.25603,4.61541,11.577005, K, r,0.175
80,400,105,106.5677,7.115395,10.68647, K, r,0.2
90,400,105.7692,138.6271,3.65385,4.7495, K, r,0.225
100,400,110,137.4397,3.65385,19.29495, K, r,0.25
