#Temperature [K]	Dynamic viscosity of LIQUID [Pas]
1726.8683	0.007210472
1750.0	0.006888848
1770.0736	0.006639147
1775.0736	0.006577321
1780.0736	0.006516206
1785.0736	0.006455802
1790.0736	0.006396111
1795.0736	0.00633713
1800.0736	0.00627886
1805.0736	0.0062213
1810.0736	0.00616445
1815.0736	0.006108311
1820.0736	0.006052882
1825.0736	0.005998161
1829.9719	0.005945241
1850.0	0.00573031
1900.0	0.00526442
1950.0	0.004857486
2000.0	0.004500073
2050.0	0.004184529
2100.0	0.003904606
2150.0	0.003655159
2200.0	0.003431932
2250.0	0.003231375
2300.0	0.003050514
2350.0	0.002886843
2400.0	0.002738239
2450.0	0.002602892
2500.0	0.002479257
2550.0	0.002366006
2600.0	0.002261993
2650.0	0.002166223
2700.0	0.002077835
2750.0	0.001996075
2800.0	0.001920284
2850.0	0.001849881
2900.0	0.001784356
2950.0	0.001723257
3000.0	0.001666184
3050.0	0.001612782
3100.0	0.001562732
3150.0	0.001515752
3200.0	0.001471587
3250.0	0.00143001
3300.0	0.001390814
3350.0	0.001353816
3400.0	0.001318847
3450.0	0.001285756
3500.0	0.001254407
3550.0	0.001224672
3600.0	0.00119644
3650.0	0.001169605
3700.0	0.001144074
3750.0	0.001119759
3800.0	0.00109658
3850.0	0.001074465
3900.0	0.001053345
3950.0	0.00103316
4000.0	0.001013852
4050.0	9.95369E-4
4100.0	9.77661E-4
4150.0	9.60684E-4
4200.0	9.44395E-4
4250.0	9.28756E-4
4300.0	9.13731E-4
4350.0	8.99286E-4
4400.0	8.85389E-4
4450.0	8.72013E-4
4500.0	8.5913E-4
4550.0	8.46713E-4
4600.0	8.34741E-4
4650.0	8.23189E-4
4700.0	8.12038E-4
4750.0	8.01269E-4
4800.0	7.90862E-4
4850.0	7.80801E-4
4900.0	7.71069E-4
4950.0	7.61651E-4
5000.0	7.52533E-4
