#Temperature [K]	Vm [m^3/mol]
298.15	7.08392E-6
322.9909	7.09119E-6
347.8318	7.09858E-6
372.6727	7.1061E-6
397.5136	7.11371E-6
422.3545	7.12141E-6
447.1954	7.12919E-6
472.0364	7.13704E-6
496.8773	7.14495E-6
521.7182	7.15293E-6
546.5591	7.16097E-6
571.4	7.16906E-6
596.2409	7.17721E-6
621.0818	7.18541E-6
645.9227	7.19367E-6
670.7636	7.20198E-6
695.6045	7.21034E-6
720.4454	7.21875E-6
745.2863	7.22721E-6
770.1272	7.23572E-6
794.9682	7.24429E-6
819.8091	7.25291E-6
844.65	7.26158E-6
869.4909	7.2703E-6
894.3318	7.27908E-6
919.1727	7.28792E-6
944.0136	7.29681E-6
968.8545	7.30576E-6
993.6954	7.31476E-6
1018.5363	7.32383E-6
1043.3772	7.33295E-6
1068.2181	7.34214E-6
1093.059	7.35139E-6
1117.9	7.3607E-6
1142.7409	7.37007E-6
1167.5818	7.37951E-6
1192.4227	7.38902E-6
1217.2636	7.39859E-6
1242.1045	7.40823E-6
1266.9454	7.41794E-6
1291.7863	7.42773E-6
1316.6272	7.43758E-6
1341.4681	7.44751E-6
1366.309	7.45751E-6
1391.1499	7.46759E-6
1415.9908	7.47775E-6
1440.8318	7.48799E-6
1465.6727	7.4983E-6
1490.5136	7.5087E-6
1515.3545	7.51918E-6
1540.1954	7.52974E-6
1657.4548	7.58366E-6
1662.4548	7.58605E-6
1667.4548	7.58903E-6
1669.6796	7.59068E-6
1670.6452	7.59147E-6
1671.6452	7.59231E-6
1672.6452	7.59319E-6
1673.6452	7.5941E-6
1674.6452	7.59504E-6
1675.6452	7.59603E-6
1676.6452	7.59706E-6
1677.6452	7.59814E-6
1678.6452	7.59926E-6
1679.6452	7.60044E-6
1680.6452	7.60168E-6
1681.6452	7.60298E-6
1682.6452	7.60434E-6
1683.6452	7.60578E-6
1684.6452	7.6073E-6
1685.6452	7.6089E-6
1686.6452	7.61059E-6
1687.6452	7.61239E-6
1688.6452	7.61429E-6
1689.6452	7.61631E-6
1690.6452	7.61845E-6
1691.6452	7.62074E-6
1692.6452	7.62318E-6
1693.6452	7.62579E-6
1694.6452	7.62858E-6
1695.6452	7.63156E-6
1696.6452	7.63478E-6
1697.6452	7.63823E-6
1698.6452	7.64195E-6
1699.6452	7.64597E-6
1700.6452	7.65033E-6
1705.6452	7.67486E-6
1710.6452	7.70356E-6
1715.6452	7.73477E-6
1720.6452	7.76684E-6
1725.6452	7.79811E-6
1730.6452	7.82693E-6
1735.6452	7.85165E-6
1740.6452	7.87061E-6
1745.6452	7.88217E-6
1746.79	7.8836E-6
1750.0	7.88675E-6
1800.0	7.93617E-6
1850.0	7.98589E-6
1900.0	8.03593E-6
1950.0	8.08627E-6
2000.0	8.13694E-6
2050.0	8.18792E-6
2100.0	8.23922E-6
2150.0	8.29084E-6
2200.0	8.34279E-6
2250.0	8.39506E-6
2300.0	8.44766E-6
2350.0	8.50059E-6
2400.0	8.55385E-6
2450.0	8.60745E-6
2500.0	8.66138E-6
2550.0	8.71565E-6
2600.0	8.77026E-6
2650.0	8.82521E-6
2700.0	8.88051E-6
2750.0	8.93615E-6
2800.0	8.99214E-6
2850.0	9.04849E-6
2900.0	9.10518E-6
2950.0	9.16223E-6
3000.0	9.21964E-6
3050.0	9.27741E-6
3100.0	9.33554E-6
3150.0	9.39404E-6
3200.0	9.4529E-6
3250.0	9.51213E-6
3300.0	9.57174E-6
3350.0	9.63171E-6
3400.0	9.69207E-6
3450.0	9.7528E-6
3500.0	9.81391E-6
3550.0	9.8754E-6
3600.0	9.93728E-6
3650.0	9.99955E-6
3700.0	1.006221E-5
3750.0	1.012526E-5
3800.0	1.018871E-5
3850.0	1.025255E-5
3900.0	1.03168E-5
3950.0	1.038144E-5
4000.0	1.04465E-5
4050.0	1.051196E-5
4100.0	1.057783E-5
4150.0	1.064411E-5
4200.0	1.071081E-5
4250.0	1.077793E-5
4300.0	1.084547E-5
4350.0	1.091343E-5
4400.0	1.098182E-5
4450.0	1.105064E-5
4500.0	1.111988E-5
4550.0	1.118957E-5
4600.0	1.125969E-5
4650.0	1.133024E-5
4700.0	1.140125E-5
4750.0	1.147269E-5
4800.0	1.154459E-5
4850.0	1.161693E-5
4900.0	1.168973E-5
4950.0	1.176299E-5
5000.0	1.18367E-5
