#Temperature [K]	Surface tension [J/m²]
1726.8683	1.3648
1735.0511	1.36369
1740.0511	1.363
1745.0511	1.36232
1750.0511	1.36164
1755.0511	1.36096
1760.0511	1.36027
1764.8366	1.35962
1800.0	1.35482
1850.0	1.34799
1900.0	1.34117
1940.6038	1.33562
1945.6038	1.33494
1950.6038	1.33426
1955.6038	1.33357
1959.2606	1.33307
2000.0	1.32751
2050.0	1.32069
2100.0	1.31386
2137.6463	1.30872
2142.6463	1.30804
2147.6463	1.30735
2152.6463	1.30667
2157.6463	1.30598
2162.1948	1.30537
2200.0	1.30021
2241.7319	1.29451
2246.7319	1.29383
2251.7319	1.29314
2256.7319	1.29246
2258.4249	1.29223
2300.0	1.28655
2350.0	1.27973
2400.0	1.2729
2429.6097	1.26886
2434.6097	1.26817
2439.6097	1.26749
2444.6097	1.26681
2449.6097	1.26613
2454.6097	1.26544
2459.6097	1.26476
2464.6097	1.26408
2469.6097	1.26339
2470.5238	1.26327
2500.0	1.25925
2550.0	1.25242
2582.1376	1.24803
2587.1376	1.24735
2592.1376	1.24667
2597.1376	1.24598
2602.1376	1.2453
2607.1376	1.24462
2612.1376	1.24394
2617.1376	1.24325
2617.8147	1.24316
2650.0	1.23877
2700.0	1.23194
2729.4285	1.22792
2734.4285	1.22724
2739.4285	1.22656
2744.4285	1.22587
2749.4285	1.22519
2754.4285	1.22451
2759.4285	1.22382
2764.4285	1.22314
2769.4285	1.22246
2770.3427	1.22233
2800.0	1.21829
2850.0	1.21146
2900.0	1.20463
2929.0896	1.20066
2934.0896	1.19998
2939.0896	1.1993
2944.0896	1.19861
2949.0896	1.19793
2954.0896	1.19725
2959.0896	1.19656
2964.0896	1.19588
2969.0896	1.1952
2970.6583	1.19498
3000.0	1.19098
3041.358	1.18533
3046.358	1.18465
3051.358	1.18396
3056.358	1.18328
3058.7056	1.18296
3100.0	1.17733
3120.5678	1.17452
3125.5678	1.17384
3130.5678	1.17315
3135.5678	1.17247
3140.5678	1.17179
3145.5678	1.17111
3150.5678	1.17042
3155.5678	1.16974
3160.5678	1.16906
3165.5678	1.16837
3170.5678	1.16769
3175.5678	1.16701
3179.1568	1.16652
3200.0	1.16367
3250.0	1.15685
3281.6058	1.15253
3286.6058	1.15185
3291.6058	1.15117
3296.6058	1.15048
3301.6058	1.1498
3306.6058	1.14912
3311.6058	1.14843
3316.6058	1.14775
3318.5922	1.14748
3350.0	1.14319
3400.0	1.13637
3434.7884	1.13162
3439.7884	1.13093
3444.7884	1.13025
3449.7884	1.12957
3454.7884	1.12888
3459.7884	1.1282
3464.7884	1.12752
3465.2285	1.12746
3500.0	1.12271
3519.8898	1.12
3524.8898	1.11932
3529.8898	1.11863
3534.8898	1.11795
3539.8898	1.11727
3544.8898	1.11658
3549.8898	1.1159
3554.8898	1.11522
3559.8898	1.11454
3564.8898	1.11385
3569.8898	1.11317
3574.8898	1.11249
3579.7881	1.11182
3600.0	1.10906
3650.0	1.10223
3684.201	1.09756
3689.201	1.09688
3694.201	1.0962
3699.201	1.09552
3704.201	1.09483
3709.201	1.09415
3714.201	1.09347
3715.9504	1.09323
3750.0	1.08858
3791.8871	1.08286
3796.8871	1.08218
3801.8871	1.08149
3806.8871	1.08081
3807.9254	1.08067
3850.0	1.07493
3900.0	1.0681
3950.0	1.06127
3984.3472	1.05658
3989.3472	1.0559
3994.3472	1.05522
3999.3472	1.05453
4004.3472	1.05385
4009.3472	1.05317
4014.3472	1.05249
4015.442	1.05234
4050.0	1.04762
4100.0	1.04079
4150.0	1.03397
4182.0444	1.02959
4187.0444	1.02891
4192.0444	1.02823
4197.0444	1.02754
4202.0444	1.02686
4207.0444	1.02618
4212.0444	1.0255
4217.0444	1.02481
4217.7215	1.02472
4250.0	1.02031
4300.0	1.01349
4350.0	1.00666
4400.0	0.99983
4432.439	0.9954
4437.439	0.99472
4442.439	0.99404
4447.439	0.99336
4452.439	0.99267
4457.439	0.99199
4462.439	0.99131
4467.439	0.99062
4500.0	0.98618
4550.0	0.97935
4600.0	0.97253
4639.6282	0.96712
4644.6282	0.96643
4649.6282	0.96575
4654.6282	0.96507
4659.6282	0.96439
4660.2489	0.9643
4700.0	0.95887
4750.0	0.95205
4800.0	0.94522
4850.0	0.93839
4900.0	0.93157
4940.1017	0.92609
4945.1017	0.92541
4950.1017	0.92473
4955.1017	0.92404
4960.0678	0.92336
5000.0	0.91791
