Power,Speed,Depth,Width,Length
170.0,400.0,278.3021137,107.1104171,416.4791852
76.66666667,1466.666667,25.09912329,58.00038072,238.3769921
123.3333333,2266.666667,27.76984008,62.57100898,344.6420236
193.3333333,2266.666667,43.8941866,76.76573048,560.8131898
193.3333333,933.3333333,131.1578097,109.7696,719.922063
146.6666667,2000.0,37.23604279,71.76775524,427.9774185
216.6666667,1733.333333,67.59670823,89.69561183,703.0949776
170.0,1466.666667,61.07226883,86.90461334,558.2385862
30.0,1200.0,7.156440607,25.81274049,86.05811964
76.66666667,2000.0,19.1511553,50.80741108,218.1714632
