Power,Speed,P/v,Width,Depth,Length,hatch distance depth (um),lack of fusion - hatch,lack of fusion,balling,keyholing,hmax
30,400,0.075,50.93781681,26.10477097,128.9342582,25.29474937,2.529474937,2.610477097,0.395068134,1.951283804,43.3129709
30,666.6666667,0.045,39.42743428,14.80709724,113.73623,14.23988128,1.423988128,1.480709724,0.346656771,2.662738932,30.46109466
30,933.3333333,0.032142857,31.57808921,9.909989463,99.18881493,9.314790555,0.931479055,0.990998946,0.318363409,3.186490695,22.27855037
30,1200,0.025,25.81274049,7.156440607,86.05811964,6.524034225,0.652403422,0.715644061,0.299945439,3.606924434,16.67128421
30,1466.666667,0.020454545,20.84055945,5.3218288,73.80461409,4.439439185,0.443943919,0.53218288,0.28237475,3.916052214,12.28243629
30,1733.333333,0.017307692,15.58834449,3.93705407,60.83766703,2.918340368,0.291834037,0.393705407,0.256228505,3.95939304,8.285146495
30,2000,0.015,13.05399054,2.155834139,44.20770299,0.335908103,0.03359081,0.215583414,0.295287691,6.055192422,5.497415763
30,2266.666667,0.013235294,0.373762342,0.041014705,14.19667627,0,0,0.004101471,0.026327454,9.112886164,0.023887821
30,2533.333333,0.011842105,0,0,0,0,0,0,,,0
30,2800,0.010714286,0,0,0,0,0,0,,,0
53.33333333,400,0.133333333,81.32361905,63.34469921,222.8937,61.249053,6.1249053,6.334469921,0.364853825,1.283826746,75.57662094
53.33333333,666.6666667,0.08,65.71037119,34.97655799,199.563825,34.28249867,3.428249867,3.497655799,0.329269953,1.878697475,57.94678516
53.33333333,933.3333333,0.057142857,57.32346117,25.20259931,184.3841441,24.66332383,2.466332383,2.520259931,0.310891489,2.274505914,48.50290003
53.33333333,1200,0.044444444,49.85730493,19.57887455,173.7234978,19.08693049,1.908693049,1.957887455,0.286992293,2.546484723,40.56316535
53.33333333,1466.666667,0.036363636,45.07544176,16.17537695,164.0776573,15.62507925,1.562507925,1.617537695,0.274720169,2.786670252,35.43404435
53.33333333,1733.333333,0.030769231,41.42231465,13.74788326,155.769353,13.19313528,1.319313528,1.374788326,0.265920824,3.01299581,31.51663401
53.33333333,2000,0.026666667,38.75909058,11.87701034,148.4429722,11.32082776,1.132082776,1.187701034,0.261104248,3.263370955,28.55835315
53.33333333,2266.666667,0.023529412,36.21874764,10.65347022,142.1388101,10.21178456,1.021178456,1.065347022,0.254812515,3.399713604,26.01252203
53.33333333,2533.333333,0.021052632,33.72897487,9.786313974,136.9028912,9.114524162,0.911452416,0.978631397,0.246371531,3.446545345,23.72085104
53.33333333,2800,0.019047619,31.7957845,8.757709395,131.8516337,8.193283313,0.819328331,0.875770939,0.241148203,3.630605112,21.72575653
76.66666667,400,0.191666667,101.9794111,105.7671289,320.8880504,104.2030087,10.42030087,10.57671289,0.317803704,0.964188139,97.47544493
